Bulunduğu semt,Toplama alanının ismi,Telefon numarası,Konum Bilgisi,Müsaitlik Durumu,Müsaitlik Durumu Güncelleme Tarihi,Gereken Yardım Türü
Fatih,Sulukule Mahalle EVi,(0212) 449 74 39,https://goo.gl/maps/y7yX9F8hRgZV1CdM6,,,
Fatih,Cibali Mahalle Evi,0212 312 61 00,https://goo.gl/maps/zHKJCERWpgc9chgX6,,,
Fatih,Kadir Has Üniversitesi Haydarpaşa,(0212) 533 65 32,https://goo.gl/maps/SS7tP2pTqQ3HVe4w9,,,
Fatih,Alparslan Mesleki Teknik Anadolu Lisesi,507 742 4186 Ekrem BULUT,https://goo.gl/maps/7mFvK6ayKQ9bYmr87,,,
Fatih,Fatih Ali Emiri Efendi Kültür Merkezi,2123126350,https://goo.gl/maps/YYoiTd2XYavRLnbQ6,,,
Fatih,Ahmet Kabaklı Kütüphanesi,2125215584,https://goo.gl/maps/scLtqXjrDabJaD5A7,,,
Fatih,Ayşe Hatun Kütüphanesi,,https://goo.gl/maps/ko2rob4pGuQTVu7W8,,,
Fatih,Kütüphane Troleybüs,,https://goo.gl/maps/N6iNaA2ADqUtizh48,,,
Fatih,Fatih İSADEM,,https://goo.gl/maps/NmqpFfaRoEsu9t1XA,,,
Fatih,Sulukule Mahalle Evi,,https://goo.gl/maps/7dQYP6D1SkSaJbey6,,,
Fatih,Cibali Mahalle Evi,,https://goo.gl/maps/v1Dhj7pH8KAoHh5h8,,,
Fatih,Göç Ve Uyum Birimi,,https://goo.gl/maps/arvYpDYhkQHYy85F7,,,
Gaziosmanpaşa,Gaziosmanpaşa Sosyal Hizmet Merkezi,(0212) 578 18 32,https://goo.gl/maps/dScu89m62EzmvQ1QA,DOLU,,
Gaziosmanpaşa,Gaziosmanpaşa İSADEM,2124793519,https://goo.gl/maps/eBAt4hjzUi86MoFg7,,,
Gaziosmanpaşa,Gaziosmanpaşa Sosyal Hizmet Merkezi,2125781832,https://goo.gl/maps/4bRMCv2cmeiJ4GW48,,,
Güngören,Köyiçi Spor Kompleksi Otoparkı,(0212) 556 72 43,https://goo.gl/maps/aVLjVSdMpTSmSEED9,,,
Güngören,Güngören Sosyal Hizmet Noktası,(0212) 611 42 47,https://goo.gl/maps/srBCRpKwuDsVQ5Mm9,,,
Güngören,Güngören Erdem Beyazıt Kültür Merkezi,2123126351,https://goo.gl/maps/fE4xrYLDwmWxk8PfA,,,
Güngören,Osman Nuri Ergin Kütüphanesi,2125625087,https://goo.gl/maps/nZQh7oesaaxjs5n56,,,
Güngören,Sezai Karakoç Kütüphanesi,2122499565,https://goo.gl/maps/qXiW59rsheE2UuNE7,,,
Güngören,Güngören İSADEM,2124499082,https://goo.gl/maps/wusbUCqWbq1Fybpb7,,,
Güngören,Güngören Sosyal Hizmet Noktası,2126114247,https://goo.gl/maps/cpMwLZSpikmtisbJ7,,,
Kadiköy,Afife Batur Kütüphanesi,2165865710,https://goo.gl/maps/wvJVi7YyGDTtdHFTA,,,
Kadiköy,Moda İskelesi Kütüphanesi,0212 249 09 45,https://goo.gl/maps/D6zhQVg25ThZKCw97,,,
Kadıköy,50. Yıl Tahran Anadolu Lisesi,(0216) 358 67 52,https://maps.app.goo.gl/UH2zxs1YCoF5dxSJ9,09.02 08:00'A KADAR İHTİYAÇ YOK,08.02.23 21:00,İş gücü
Kadıköy,Fenerbahçe Şükrü Saraçoğlu Stadı,(0216) 542 19 07,https://goo.gl/maps/zVY83WH27BUcfwm36,DOLU,,
Kadıköy,Kadıköy Evlendirme dairesi,(0216) 542 50 02,https://goo.gl/maps/uPDRBqPiaRnZHmhC9,TASNİF İÇİN YARDIM İHTİYACI YOK (POŞET LAZIM),,
Kadıköy,Kadıköy Belediye Binası (evlendirme dairesinden farklı),444 55 22,https://goo.gl/maps/E4uZuTZFJoWKP7AZ7,GARAJDA İNSAN GÜCÜNE İHTİYAÇ VAR,,
Kadıköy,Bağdat Caddesi İstanbul İl Tarım ve Orman Müdürlüğü,(0216) 468 21 00,https://goo.gl/maps/HS6EiXzDzsYsfq9J6,BU GECE İHTİYAÇ YOK,,
Kadıköy,Marmara Üniversitesi,(0216) 777 07 77,https://goo.gl/maps/o8PRaGZzzDS2MfcQA,8 ŞUBAT GECESİ İHTİYAÇLAR KARŞILANDI TEŞEKKÜRLER,,
Kağıthane,Sanayi Mahallesi Merkez Cami,,https://goo.gl/maps/wk9HU34wX3b3YBbb7,,,
Kartal,Kartal Ekoloji Pazarı,444 4 578,https://maps.app.goo.gl/uGTgHnXmmrcfFg6J6,İNSAN GÜCÜNE İHTİYAÇ YOK,,
Kartal,Halil İnalcık Kütüphanesi ,(0216) 586 57 44,https://goo.gl/maps/QmUocUiGLnpQQBTQ8,,,
Kartal,Kartal Umut Hastahanesi,(0216) 911 91 91,https://goo.gl/maps/sBrueMDd5oMSoLSb8,,,
Kartal,Emine Hasan Aytaçman İlkokulu,(0216) 374 38 51,https://goo.gl/maps/515juf6GHbW15hCP9,,,
Kartal,Borsa İstanbul İmam Hatip Ortaokulu,(0216) 488 49 64,https://goo.gl/maps/cbPYiTcMjEHpVoAY8,,,
Kartal,Bülent Ecevit Kültür Merkezi,(0216) 586 57 40,https://goo.gl/maps/djZBXMgYTuwTkpLf8,İHTİYAÇ BULUNMAKTADIR,,
Kartal,Süleyman Demirel Anadolu Lisesi,(0216) 306 54 54,,,,
Kartal,Soğanlık Hasan Ferruh Özgen Anadolu Lisesi,(0216) 451 67 04,https://goo.gl/maps/jbg3ppxbELLeurhf6,9 ŞUBAT İTİBARİYLE İHTİYAÇ VAR,,
Kartal,İBB Kartal Lojistik Merkezi,0 (212) 600 95 00,https://goo.gl/maps/8RNhS8FaKVwdGFoBA,7/24 AÇIK,,
Kartal,İstek Uluğbey İÖO,,https://goo.gl/maps/x7mQsVcDL7QWNsBQA,KOLİLEME BİTTİ,,
